,City,State,Lat,Lng,Airport Name,Airport Address,Airport Rating
0,New York City,New York,40.7127753,-74.0059728,John F. Kennedy International Airport,Queens,3.8
1,Los Angeles,California,34.0522342,-118.2436849,Los Angeles International Airport,"1 World Way, Los Angeles",3.7
2,Chicago,Illinois,41.8781136,-87.6297982,O'Hare International Airport,"10000 W O'Hare Ave, Chicago",3.8
3,Houston,Texas,29.7604267,-95.3698028,George Bush Intercontinental Airport,"2800 N Terminal Rd, Houston",4
4,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.6
5,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",4.2
6,San Antonio,Texas,29.4241219,-98.49362819999999,San Antonio International Airport,"9800 Airport Blvd, San Antonio",4.1
7,San Diego,California,32.715738,-117.1610838,San Diego International Airport,"3225 N Harbor Dr, San Diego",4.2
8,Dallas,Texas,32.7766642,-96.79698789999999,Dallas/Fort Worth International Airport,"2400 Aviation Dr, DFW Airport",4
9,San Jose,California,37.3382082,-121.8863286,San Francisco International Airport,San Francisco,4
10,Austin,Texas,,,,,
11,Jacksonville,Florida,,,,,
12,San Francisco,California,,,,,
13,Indianapolis,Indiana,,,,,
14,Columbus,Ohio,,,,,
15,Fort Worth,Texas,,,,,
16,Charlotte,North Carolina,,,,,
17,Seattle,Washington,,,,,
18,Denver,Colorado,,,,,
19,El Paso,Texas,,,,,
20,Detroit,Michigan,,,,,
21,Washington,District of Columbia,,,,,
22,Boston,Massachusetts,,,,,
23,Memphis,Tennessee,,,,,
24,Nashville,Tennessee,,,,,
25,Portland,Oregon,,,,,
26,Oklahoma City,Oklahoma,,,,,
27,Las Vegas,Nevada,,,,,
28,Baltimore,Maryland,,,,,
29,Louisville,Kentucky,,,,,
30,Milwaukee,Wisconsin,,,,,
31,Albuquerque,New Mexico,,,,,
32,Tucson,Arizona,,,,,
33,Fresno,California,,,,,
34,Sacramento,California,,,,,
35,Kansas City,Missouri,,,,,
36,Long Beach,California,,,,,
37,Mesa,Arizona,,,,,
38,Atlanta,Georgia,,,,,
39,Colorado Springs,Colorado,,,,,
40,Virginia Beach,Virginia,,,,,
41,Raleigh,North Carolina,,,,,
42,Omaha,Nebraska,,,,,
43,Miami,Florida,,,,,
44,Oakland,California,,,,,
45,Minneapolis,Minnesota,,,,,
46,Tulsa,Oklahoma,,,,,
47,Wichita,Kansas,,,,,
48,New Orleans,Louisiana,,,,,
49,Arlington,Texas,,,,,
50,Cleveland,Ohio,,,,,
51,Bakersfield,California,,,,,
52,Tampa,Florida,,,,,
53,Aurora,Colorado,,,,,
54,Honolulu,Hawai'i,,,,,
55,Anaheim,California,,,,,
56,Santa Ana,California,,,,,
57,Corpus Christi,Texas,,,,,
58,Riverside,California,,,,,
59,St. Louis,Missouri,,,,,
60,Lexington,Kentucky,,,,,
61,Stockton,California,,,,,
62,Pittsburgh,Pennsylvania,,,,,
63,Saint Paul,Minnesota,,,,,
64,Anchorage,Alaska,,,,,
65,Cincinnati,Ohio,,,,,
66,Henderson,Nevada,,,,,
67,Greensboro,North Carolina,,,,,
68,Plano,Texas,,,,,
69,Newark,New Jersey,,,,,
70,Toledo,Ohio,,,,,
71,Lincoln,Nebraska,,,,,
72,Orlando,Florida,,,,,
73,Chula Vista,California,,,,,
74,Jersey City,New Jersey,,,,,
75,Chandler,Arizona,,,,,
76,Fort Wayne,Indiana,,,,,
77,Buffalo,New York,,,,,
78,Durham,North Carolina,,,,,
79,St. Petersburg,Florida,,,,,
80,Irvine,California,,,,,
81,Laredo,Texas,,,,,
82,Lubbock,Texas,,,,,
83,Madison,Wisconsin,,,,,
84,Gilbert,Arizona,,,,,
85,Norfolk,Virginia,,,,,
86,Reno,Nevada,,,,,
87,Winston-Salem,North Carolina,,,,,
88,Glendale,Arizona,,,,,
89,Hialeah,Florida,,,,,
90,Garland,Texas,,,,,
91,Scottsdale,Arizona,,,,,
92,Irving,Texas,,,,,
93,Chesapeake,Virginia,,,,,
94,North Las Vegas,Nevada,,,,,
95,Fremont,California,,,,,
96,Baton Rouge,Louisiana,,,,,
97,Richmond,Virginia,,,,,
98,Boise,Idaho,,,,,
99,San Bernardino,California,,,,,
